DiseaseID,Disease,CF_TriggerIncites,MF_IncreasesOccurance,MF_DecreasesOccurance
DIS0118,Rice Bacterial Leaf Blight (Xanthomonas oryzae),"CF14_HighHumidity/LeafWetness, CF16_25-35C, CF11_PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF11_WindBarrier"
DIS0119,Rice Blast (Pyricularia oryzae),"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0120,Rice Sheath Blight (Rhizoctonia solani),"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0121,Rice Tungro Virus,"CF21_VectorHigh, CF16_20-35C, CF14_HighCanopyHumidity","MF22_PestShelter, MF12_AirReduce","MF20_BeneficialInsect, MF21_PestDiversion, MF13_AirEnhance"
DIS0122,Ring Spot Virus,"CF21_VectorHigh, CF16_20-35C, CF14_HighCanopyHumidity","MF22_PestShelter, MF12_AirReduce","MF20_BeneficialInsect, MF21_PestDiversion, MF13_AirEnhance"
DIS0123,Root Rot,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0124,Root Wilt,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0125,Rust,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0126,Scab,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0127,Sclerotinia,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0128,Sclerotinia Stem Rot,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0129,Seedling Blight,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0130,Seedling Wilt,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0131,Sheath Blight,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0132,Sigatoka Leaf Spot,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0133,Slow Wilt,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0134,Smut,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0135,Soft Rot,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0136,Stem Bleeding,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0137,Stem Canker,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0138,Stem Gall,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0139,Stem Rot,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0140,Stemphylium Blight,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0141,Sterility Mosaic,"CF21_VectorHigh, CF16_20-35C, CF14_HighCanopyHumidity","MF22_PestShelter, MF12_AirReduce","MF20_BeneficialInsect, MF21_PestDiversion, MF13_AirEnhance"
DIS0142,Stunt Disease,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0143,Tanjore Wilt,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0144,Tikka Leaf Spot,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0145,Tristeza Virus,"CF21_VectorHigh, CF16_20-35C, CF14_HighCanopyHumidity","MF22_PestShelter, MF12_AirReduce","MF20_BeneficialInsect, MF21_PestDiversion, MF13_AirEnhance"
DIS0146,Turcicum Leaf Blight,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0147,Twig Blight,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0148,Vascular Streak Dieback,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0149,Virus,"CF21_VectorHigh, CF16_20-35C, CF14_HighCanopyHumidity","MF22_PestShelter, MF12_AirReduce","MF20_BeneficialInsect, MF21_PestDiversion, MF13_AirEnhance"
DIS0150,White Rust,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0151,Wilt,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0152,Witches Broom,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0153,Yellow Leaf Disease,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0154,Yellow Mosaic Virus,"CF21_VectorHigh, CF16_20-35C, CF14_HighCanopyHumidity","MF22_PestShelter, MF12_AirReduce","MF20_BeneficialInsect, MF21_PestDiversion, MF13_AirEnhance"
DIS0155,Yellow Rust,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0156,Yellow Vein Mosaic Virus,"CF21_VectorHigh, CF16_20-35C, CF14_HighCanopyHumidity","MF22_PestShelter, MF12_AirReduce","MF20_BeneficialInsect, MF21_PestDiversion, MF13_AirEnhance"
DIS0157,Yellows / Wilt,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
